Name,Gender,id,Age,Section,Science,English,History,Maths,Average,Performance_Tier
Bent,Female,118,14,B,90,22,2,12,31.5,Fail
Ekaterina,Female,32,15,B,17,36,45,27,31.25,Fail
Tate,Male,10,15,C,35,25,37,27,31.0,Fail
Orrin,Female,67,15,C,45,41,26,12,31.0,Fail
Abel,Male,111,13,A,2,39,13,69,30.75,Fail
Christoph,Female,103,13,C,2,19,48,52,30.25,Fail
Ezekiel,Male,190,13,A,14,6,29,72,30.25,Fail
Isidora,Male,141,15,C,52,30,14,24,30.0,Fail
Starlin,Female,128,14,C,3,31,34,45,28.25,Fail
Massimiliano,Male,63,14,A,16,45,44,5,27.5,Fail
Linn,Male,91,13,C,23,2,42,43,27.5,Fail
Willem,Female,205,13,C,7,47,39,16,27.25,Fail
Morrie,Female,243,13,B,17,24,41,21,25.75,Fail
Raimund,Male,240,15,C,2,4,48,46,25.0,Fail
Jesselyn,Female,245,15,C,11,53,15,13,23.0,Fail
Alasteir,Male,210,13,A,7,29,30,23,22.25,Fail
Nickie,Male,246,13,C,28,15,25,10,19.5,Fail
Josepha,Female,227,14,C,22,26,1,28,19.25,Fail
Berget,Male,138,13,C,10,29,21,13,18.25,Fail
Jocelin,Male,5,14,A,43,6,3,21,18.25,Fail
Blake,Female,226,15,B,16,4,49,1,17.5,Fail
Ashlan,Male,20,13,B,41,6,17,3,16.75,Fail
Ginnifer,Female,229,14,C,4,15,6,32,14.25,Fail
